id_cliente,genero,idade,renda,score_credito,aprovado_real,pred_modelo_a,pred_modelo_b
1,F,64,3022.26,828.0,1,1,1
2,M,44,3208.74,733.0,0,1,1
3,M,69,8186.14,701.0,1,1,1
4,F,58,7202.61,565.0,1,0,1
5,F,52,3882.38,521.0,0,0,0
6,M,65,3954.63,671.0,1,1,1
7,F,46,2776.19,501.0,0,0,1
8,M,56,1637.8,579.0,1,0,1
9,F,34,4324.68,590.0,1,0,1
10,F,68,3003.22,743.0,1,0,1
11,M,51,4372.72,568.0,0,1,0
12,M,59,2099.69,380.0,0,0,0
13,M,43,3357.04,645.0,1,1,0
14,M,63,4722.94,537.0,0,0,0
15,M,24,5049.31,604.0,0,1,1
16,M,26,5126.21,592.0,0,0,1
17,M,45,2519.27,575.0,1,0,0
18,F,56,5782.03,671.0,1,1,0
19,M,60,3299.68,462.0,0,0,0
20,F,42,5449.29,553.0,1,0,1
21,M,52,4484.04,662.0,1,1,1
22,F,48,2435.42,545.0,0,0,1
23,F,68,4025.7,455.0,0,0,0
24,M,53,5048.05,660.0,1,1,1
25,M,41,5419.45,701.0,1,1,1
26,M,68,4288.52,596.0,1,0,1
27,F,26,6797.67,424.0,0,0,0
28,M,69,6011.27,664.0,0,1,1
29,M,28,4115.02,451.0,0,0,0
30,F,35,5625.18,628.0,1,0,1
31,F,61,7400.69,520.0,1,0,1
32,F,56,7440.73,496.0,1,0,0
33,F,68,2658.0,560.0,0,0,1
34,M,57,3110.2,584.0,1,0,1
35,M,52,6727.38,542.0,1,0,0
36,F,37,2912.58,653.0,1,0,1
37,M,21,2516.19,560.0,1,0,1
38,M,27,3770.71,688.0,1,0,0
39,F,35,5130.34,625.0,1,1,1
40,M,23,4346.4,537.0,0,0,1
41,F,45,3524.15,522.0,0,0,0
42,M,59,3488.68,452.0,0,0,0
43,M,68,3431.49,626.0,1,1,1
44,F,44,3180.74,568.0,0,0,1
45,F,63,7922.45,387.0,1,0,0
46,M,69,4946.27,552.0,0,1,0
47,F,63,5830.14,519.0,0,0,0
48,M,43,3766.38,742.0,1,1,1
49,M,36,4221.06,447.0,0,0,1
50,M,68,3429.67,470.0,1,0,0
51,M,32,1200.0,700.0,1,0,0
